resource_id,title,resource_type,sel_core_competency,education_stage,curriculum_108_competency,curriculum_108_area,curriculum_108_issue,curriculum_108_performance,curriculum_108_content,mapping_status,source,source_url,verification_status,license_or_access,notes
SEL-005,CASEL Cooperative Learning,教學活動與教案,人際關係,國小;國中,A2;B1;C2,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,CASEL,https://casel.org/fundamentals-of-sel/what-is-the-casel-framework/,待直接頁面查核,公開閱讀,合作學習情境
SEL-006,CASEL Project-based Learning,教學活動與教案,負責任的決定,國中;高中職,A2;B1;C2,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,CASEL,https://casel.org/fundamentals-of-sel/what-is-the-casel-framework/,待直接頁面查核,公開閱讀,課程融入情境
SEL-007,CASEL Adult SEL,研習模組與講師素材,自我覺察,幼兒園;國小;國中;高中職;大專,A2;B1;C2,綜合活動領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,CASEL,https://casel.org/systemic-implementation/,待直接頁面查核,公開閱讀,教師與成人學習
SEL-009,CASEL Community Partnership,研習模組與講師素材,社會覺察,幼兒園;國小;國中;高中職;大專,A2;B1;C2,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,CASEL,https://casel.org/systemic-implementation/,待直接頁面查核,公開閱讀,社區資源連結
SEL-010,CASEL Equity and SEL,學術文獻與實證,社會覺察,幼兒園;國小;國中;高中職;大專,A2;B1;C2,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,CASEL,https://casel.org/fundamentals-of-sel/what-is-the-casel-framework/,待直接頁面查核,公開閱讀,文化回應與公平
SEL-011,OECD SSES Overview,學術文獻與實證,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,國中;高中職,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,OECD,https://www.oecd.org/en/about/programmes/social-and-emotional-skills-study.html,已核對入口,公開閱讀,國際研究入口
SEL-012,OECD SSES Framework,學術文獻與實證,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,國中;高中職,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,OECD,https://www.oecd.org/en/about/programmes/social-and-emotional-skills-study.html,待直接頁面查核,公開閱讀,技能分類
SEL-013,OECD SSES Measurement,評量工具與量表,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,國中;高中職,A2;B1;C2,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,OECD,https://www.oecd.org/en/about/programmes/social-and-emotional-skills-study.html,待直接頁面查核,公開閱讀,測量設計參考
SEL-014,OECD SSES Student Context,學術文獻與實證,社會覺察,國中;高中職,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,OECD,https://www.oecd.org/en/about/programmes/social-and-emotional-skills-study.html,待直接頁面查核,公開閱讀,學生背景變項
SEL-015,OECD SSES Teacher Context,研習模組與講師素材,自我覺察,國中;高中職,A2;B1;C2,綜合活動領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,OECD,https://www.oecd.org/en/about/programmes/social-and-emotional-skills-study.html,待直接頁面查核,公開閱讀,教師相關變項
SEL-016,OECD SSES School Context,學術文獻與實證,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,國中;高中職,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,OECD,https://www.oecd.org/en/about/programmes/social-and-emotional-skills-study.html,待直接頁面查核,公開閱讀,學校脈絡
SEL-017,OECD Skills and Well-being,學術文獻與實證,自我管理,幼兒園;國小;國中;高中職;大專,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,OECD,https://www.oecd.org/en/about/programmes/social-and-emotional-skills-study.html,待直接頁面查核,公開閱讀,福祉與學習
SEL-018,OECD Skills and Academic Outcomes,學術文獻與實證,負責任的決定,國中;高中職,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,OECD,https://www.oecd.org/en/about/programmes/social-and-emotional-skills-study.html,待直接頁面查核,公開閱讀,結果變項
SEL-019,OECD Skills and Equity,學術文獻與實證,社會覺察,幼兒園;國小;國中;高中職;大專,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,OECD,https://www.oecd.org/en/about/programmes/social-and-emotional-skills-study.html,待直接頁面查核,公開閱讀,公平議題
SEL-020,OECD Country Data,學術文獻與實證,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,國中;高中職,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,OECD,https://www.oecd.org/en/about/programmes/social-and-emotional-skills-study.html,待直接頁面查核,公開閱讀,不可直接作個人排名
SEL-021,Harvard EASEL Lab,學術文獻與實證,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,幼兒園;國小;國中;高中職;大專,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,Harvard EASEL,https://easel.gse.harvard.edu/,已核對入口,公開閱讀,研究與詞彙入口
SEL-022,EASEL SEL Lexicon,學術文獻與實證,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,幼兒園;國小;國中;高中職;大專,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,Harvard EASEL,https://easel.gse.harvard.edu/,待直接頁面查核,公開閱讀,術語對照
SEL-023,EASEL Research Library,學術文獻與實證,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,幼兒園;國小;國中;高中職;大專,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,Harvard EASEL,https://easel.gse.harvard.edu/,待直接頁面查核,公開閱讀,研究索引
SEL-024,EASEL Measurement Resources,評量工具與量表,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,幼兒園;國小;國中;高中職;大專,A2;B1;C2,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,Harvard EASEL,https://easel.gse.harvard.edu/,待直接頁面查核,公開閱讀,量表與工具索引
SEL-025,EASEL Adult SEL,研習模組與講師素材,自我覺察,幼兒園;國小;國中;高中職;大專,A2;B1;C2,綜合活動領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,Harvard EASEL,https://easel.gse.harvard.edu/,待直接頁面查核,公開閱讀,成人 SEL
SEL-026,EASEL Emotion Knowledge,教學活動與教案,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,幼兒園;國小,A2;B1;C2,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,Harvard EASEL,https://easel.gse.harvard.edu/,待直接頁面查核,公開閱讀,情緒知識
SEL-027,EASEL Relationships,教學活動與教案,人際關係,幼兒園;國小;國中;高中職;大專,A2;B1;C2,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,Harvard EASEL,https://easel.gse.harvard.edu/,待直接頁面查核,公開閱讀,關係與互動
SEL-028,EASEL School Climate,學術文獻與實證,社會覺察,幼兒園;國小;國中;高中職;大專,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,Harvard EASEL,https://easel.gse.harvard.edu/,待直接頁面查核,公開閱讀,學校氣候
SEL-029,EASEL Equity,學術文獻與實證,社會覺察,幼兒園;國小;國中;高中職;大專,A2;B1;C2,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,Harvard EASEL,https://easel.gse.harvard.edu/,待直接頁面查核,公開閱讀,公平與文化
SEL-030,EASEL Evidence Briefs,學術文獻與實證,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,幼兒園;國小;國中;高中職;大專,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,Harvard EASEL,https://easel.gse.harvard.edu/,待直接頁面查核,公開閱讀,證據摘要
SEL-031,RULER Approach,研習模組與講師素材,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,幼兒園;國小;國中;高中職;大專,A2;B1;C2,綜合活動領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,Yale RULER,https://rulerapproach.org/,已核對入口,部分公開／可能需註冊,情緒識讀取向
SEL-032,RULER Charter,教學活動與教案,人際關係,幼兒園;國小,A2;B1;C2,綜合活動領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,Yale RULER,https://rulerapproach.org/,待直接頁面查核,部分公開／可能需註冊,班級共同規範
SEL-033,RULER Mood Meter,教學活動與教案,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,幼兒園;國小,A2;B1;C2,綜合活動領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,Yale RULER,https://rulerapproach.org/,待授權查核,部分公開／可能需註冊,情緒辨識工具
SEL-034,RULER Meta-Moment,教學活動與教案,自我管理,國小;國中,A2;B1;C2,綜合活動領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,Yale RULER,https://rulerapproach.org/,待授權查核,部分公開／可能需註冊,情緒調節策略
SEL-035,RULER Blueprint,教學活動與教案,人際關係,國中;高中職,A2;B1;C2,綜合活動領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,Yale RULER,https://rulerapproach.org/,待授權查核,部分公開／可能需註冊,衝突與關係修復
SEL-036,RULER Teacher Learning,研習模組與講師素材,自我覺察,幼兒園;國小;國中;高中職;大專,A2;B1;C2,綜合活動領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,Yale RULER,https://rulerapproach.org/,待直接頁面查核,部分公開／可能需註冊,教師培訓
SEL-037,RULER School Implementation,學術文獻與實證,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,幼兒園;國小;國中;高中職;大專,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,Yale RULER,https://rulerapproach.org/,待直接頁面查核,部分公開／可能需註冊,全校推動
SEL-039,RULER Emotion Vocabulary,教學活動與教案,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,幼兒園;國小,A2;B1;C2,綜合活動領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,Yale RULER,https://rulerapproach.org/,待授權查核,部分公開／可能需註冊,情緒詞彙
SEL-040,RULER Reflection,評量工具與量表,自我管理,幼兒園;國小;國中;高中職;大專,A2;B1;C2,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,Yale RULER,https://rulerapproach.org/,待直接頁面查核,部分公開／可能需註冊,教師與學生反思
SEL-041,EEF SEL Guidance,學術文獻與實證,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,國小,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,EEF,https://educationendowmentfoundation.org.uk/education-evidence/guidance-reports/improving-social-and-emotional-learning-in-primary-schools,已核對入口,公開閱讀,教學實施建議
SEL-042,EEF Explicit Teaching,教學活動與教案,自我管理,國小,A2;B1;C2,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,EEF,https://educationendowmentfoundation.org.uk/education-evidence/guidance-reports/improving-social-and-emotional-learning-in-primary-schools,待直接頁面查核,公開閱讀,明確教學
SEL-043,EEF Classroom Practice,教學活動與教案,人際關係,國小,A2;B1;C2,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,EEF,https://educationendowmentfoundation.org.uk/education-evidence/guidance-reports/improving-social-and-emotional-learning-in-primary-schools,待直接頁面查核,公開閱讀,課堂實踐
SEL-044,EEF Whole-school Approach,學術文獻與實證,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,國小,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,EEF,https://educationendowmentfoundation.org.uk/education-evidence/guidance-reports/improving-social-and-emotional-learning-in-primary-schools,待直接頁面查核,公開閱讀,全校策略
SEL-045,EEF Professional Development,研習模組與講師素材,自我覺察,國小,A2;B1;C2,綜合活動領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,EEF,https://educationendowmentfoundation.org.uk/education-evidence/guidance-reports/improving-social-and-emotional-learning-in-primary-schools,待直接頁面查核,公開閱讀,教師支持
SEL-046,EEF Assessment and Adaptation,評量工具與量表,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,國小,A2;B1;C2,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,EEF,https://educationendowmentfoundation.org.uk/education-evidence/guidance-reports/improving-social-and-emotional-learning-in-primary-schools,待直接頁面查核,公開閱讀,形成性評估
SEL-048,EEF Implementation Conditions,學術文獻與實證,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,國小,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,EEF,https://educationendowmentfoundation.org.uk/education-evidence/guidance-reports/improving-social-and-emotional-learning-in-primary-schools,待直接頁面查核,公開閱讀,實施條件
SEL-049,EEF Evidence Interpretation,學術文獻與實證,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,國小,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,EEF,https://educationendowmentfoundation.org.uk/education-evidence/guidance-reports/improving-social-and-emotional-learning-in-primary-schools,待直接頁面查核,公開閱讀,證據判讀
SEL-050,EEF Adaptation Checklist,評量工具與量表,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,國小,A2;B1;C2,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,EEF,https://educationendowmentfoundation.org.uk/education-evidence/guidance-reports/improving-social-and-emotional-learning-in-primary-schools,待直接頁面查核,公開閱讀,在地化檢核
SEL-051,UNESCO School Well-being,學術文獻與實證,社會覺察,幼兒園;國小;國中;高中職;大專,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,UNESCO,https://www.unesco.org/en/education,已核對入口,公開閱讀,學校福祉
SEL-052,UNESCO Mental Health and Education,學術文獻與實證,自我管理,幼兒園;國小;國中;高中職;大專,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,UNESCO,https://www.unesco.org/en/education,待直接頁面查核,公開閱讀,心理健康支持
SEL-053,UNESCO Inclusion,學術文獻與實證,社會覺察,幼兒園;國小;國中;高中職;大專,A2;B1;C2,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,UNESCO,https://www.unesco.org/en/education,待直接頁面查核,公開閱讀,教育包容
SEL-054,UNESCO Teacher Support,研習模組與講師素材,自我覺察,幼兒園;國小;國中;高中職;大專,A2;B1;C2,綜合活動領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,UNESCO,https://www.unesco.org/en/education,待直接頁面查核,公開閱讀,教師支持
SEL-055,UNESCO Safe Learning Environment,學術文獻與實證,人際關係,幼兒園;國小;國中;高中職;大專,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,UNESCO,https://www.unesco.org/en/education,待直接頁面查核,公開閱讀,安全學習環境
SEL-056,UNESCO Education Equity,學術文獻與實證,社會覺察,幼兒園;國小;國中;高中職;大專,A2;B1;C2,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,UNESCO,https://www.unesco.org/en/education,待直接頁面查核,公開閱讀,公平
SEL-058,UNESCO Student Voice,教學活動與教案,負責任的決定,幼兒園;國小;國中;高中職;大專,A2;B1;C2,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,UNESCO,https://www.unesco.org/en/education,待直接頁面查核,公開閱讀,學生聲音
SEL-059,UNESCO Teacher Well-being,研習模組與講師素材,自我管理,幼兒園;國小;國中;高中職;大專,A2;B1;C2,綜合活動領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,UNESCO,https://www.unesco.org/en/education,待直接頁面查核,公開閱讀,教師福祉
SEL-060,UNESCO School Leadership,學術文獻與實證,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,幼兒園;國小;國中;高中職;大專,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,UNESCO,https://www.unesco.org/en/education,待直接頁面查核,公開閱讀,學校領導
SEL-061,US ED SEL and Mental Health,學術文獻與實證,自我管理,幼兒園;國小;國中;高中職;大專,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,U.S. Department of Education,https://www.ed.gov/teaching-and-administration/educator-support/mental-health/social-emotional-learning,已核對入口,公開閱讀,政策與教師支持
SEL-062,US ED Educator Support,研習模組與講師素材,自我覺察,幼兒園;國小;國中;高中職;大專,A2;B1;C2,綜合活動領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,U.S. Department of Education,https://www.ed.gov/teaching-and-administration/educator-support/mental-health/social-emotional-learning,待直接頁面查核,公開閱讀,教師資源
SEL-063,US ED School Climate,學術文獻與實證,人際關係,幼兒園;國小;國中;高中職;大專,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,U.S. Department of Education,https://www.ed.gov/teaching-and-administration/educator-support/mental-health/social-emotional-learning,待直接頁面查核,公開閱讀,學校氣候
SEL-064,US ED Student Mental Health,學術文獻與實證,自我管理,幼兒園;國小;國中;高中職;大專,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,U.S. Department of Education,https://www.ed.gov/teaching-and-administration/educator-support/mental-health/social-emotional-learning,待直接頁面查核,公開閱讀,轉介界線
SEL-066,US ED Trauma-informed Support,學術文獻與實證,自我管理,幼兒園;國小;國中;高中職;大專,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,U.S. Department of Education,https://www.ed.gov/teaching-and-administration/educator-support/mental-health/social-emotional-learning,待直接頁面查核,公開閱讀,創傷知情
SEL-067,US ED Positive School Culture,教學活動與教案,人際關係,幼兒園;國小;國中;高中職;大專,A2;B1;C2,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,U.S. Department of Education,https://www.ed.gov/teaching-and-administration/educator-support/mental-health/social-emotional-learning,待直接頁面查核,公開閱讀,正向文化
